dr	m_left	m_right	v_in	v_pid
1.000000000000000e+003	7.872600e+000	4.127390e+000	8.988510e+000	2.627390e+000
1.100000000000000e+003	7.872590e+000	4.127400e+000	8.988490e+000	2.627400e+000
1.200000000000000e+003	7.872560e+000	4.127430e+000	8.988410e+000	2.627430e+000
1.300000000000000e+003	7.872300e+000	4.127690e+000	8.987800e+000	2.627690e+000
1.400000000000000e+003	7.819640e+000	4.180350e+000	8.861430e+000	2.680350e+000
1.500000000000000e+003	7.518050e+000	4.481940e+000	8.137790e+000	2.981950e+000
1.600000000000000e+003	7.234360e+000	4.765630e+000	7.457350e+000	3.265630e+000
1.700000000000000e+003	6.967800e+000	5.032190e+000	6.818150e+000	3.532200e+000
1.800000000000000e+003	6.716810e+000	5.283180e+000	6.216550e+000	3.783180e+000
1.900000000000000e+003	6.480070e+000	5.519920e+000	5.649330e+000	4.019920e+000
2.000000000000000e+003	6.256370e+000	5.743620e+000	5.113620e+000	4.243620e+000
2.100000000000000e+003	6.044660e+000	5.955330e+000	4.606870e+000	4.455340e+000
2.200000000000000e+003	5.844040e+000	6.155950e+000	4.126790e+000	4.655960e+000
2.300000000000000e+003	5.653800e+000	6.346190e+000	3.671320e+000	4.846190e+000
2.400000000000000e+003	5.473150e+000	6.526840e+000	3.238640e+000	5.026840e+000
2.500000000000000e+003	5.301370e+000	6.698620e+000	2.827050e+000	5.198620e+000
2.600000000000000e+003	5.137820e+000	6.862170e+000	2.435070e+000	5.362170e+000
2.700000000000000e+003	4.981920e+000	7.018070e+000	2.061320e+000	5.518080e+000
2.800000000000000e+003	4.833130e+000	7.166860e+000	1.704560e+000	5.666870e+000
2.900000000000000e+003	4.690980e+000	7.309010e+000	1.363650e+000	5.809010e+000
3.000000000000000e+003	4.555040e+000	7.444950e+000	1.037570e+000	5.944960e+000
3.100000000000000e+003	4.424890e+000	7.575100e+000	7.253580e-001	6.075100e+000
3.200000000000000e+003	4.300190e+000	7.699800e+000	4.261580e-001	6.199800e+000
3.300000000000000e+003	4.180590e+000	7.819390e+000	1.391710e-001	6.319400e+000
3.400000000000000e+003	4.126030e+000	7.873960e+000	8.222440e-003	6.373970e+000
3.500000000000000e+003	4.125000e+000	7.874990e+000	5.748560e-003	6.375000e+000
3.600000000000000e+003	4.124840e+000	7.875150e+000	5.351380e-003	6.375160e+000
3.700000000000000e+003	4.124770e+000	7.875220e+000	5.205520e-003	6.375230e+000
3.800000000000000e+003	4.124740e+000	7.875250e+000	5.136850e-003	6.375260e+000
3.900000000000000e+003	4.124740e+000	7.875250e+000	5.100510e-003	6.375260e+000
4.000000000000000e+003	4.124720e+000	7.875270e+000	5.079940e-003	6.375280e+000
